light-bh1745,"[12.0,8736.0,3.0]",1497392462350
light-bh1745,"[6.0,6909.0,3.0]",1497392462752
light-bh1745,"[6.0,8736.0,4.0]",1497392463101
light-bh1745,"[5.0,7447.0,3.0]",1497392463451
light-bh1745,"[5.0,8101.0,3.0]",1497392463802
light-bh1745,"[5.0,7447.0,4.0]",1497392464152
light-bh1745,"[5.0,10000.0,4.0]",1497392464502
light-bh1745,"[5.0,9499.0,3.0]",1497392464851
light-bh1745,"[5.0,9499.0,4.0]",1497392465201
light-bh1745,"[5.0,9499.0,4.0]",1497392465552
light-bh1745,"[7.0,8101.0,4.0]",1497392465902
light-bh1745,"[4.0,8913.0,4.0]",1497392466251
light-bh1745,"[5.0,9499.0,3.0]",1497392466602
light-bh1745,"[5.0,10000.0,4.0]",1497392466951
light-bh1745,"[7.0,8736.0,4.0]",1497392467301
light-bh1745,"[5.0,8101.0,4.0]",1497392467651
light-bh1745,"[6.0,7447.0,4.0]",1497392468002
light-bh1745,"[7.0,8736.0,4.0]",1497392468352
light-bh1745,"[5.0,10000.0,3.0]",1497392468701
light-bh1745,"[6.0,8736.0,4.0]",1497392469051
light-bh1745,"[6.0,8736.0,4.0]",1497392469401
light-bh1745,"[5.0,9499.0,4.0]",1497392469752
light-bh1745,"[7.0,8101.0,4.0]",1497392470101
light-bh1745,"[12.0,7447.0,3.0]",1497392470451
light-bh1745,"[5.0,7447.0,4.0]",1497392470801
light-bh1745,"[5.0,9499.0,4.0]",1497392471151
light-bh1745,"[7.0,8101.0,5.0]",1497392471501
light-bh1745,"[5.0,9499.0,4.0]",1497392471851
light-bh1745,"[7.0,6461.0,4.0]",1497392472202
light-bh1745,"[5.0,7447.0,4.0]",1497392472551
light-bh1745,"[5.0,8101.0,4.0]",1497392472901
light-bh1745,"[12.0,6909.0,3.0]",1497392473251
light-bh1745,"[13.0,8101.0,2.0]",1497392473601
light-bh1745,"[5.0,8101.0,4.0]",1497392473951
light-bh1745,"[5.0,9499.0,4.0]",1497392474301
light-bh1745,"[5.0,7447.0,4.0]",1497392474652
light-bh1745,"[6.0,6909.0,4.0]",1497392475002
light-bh1745,"[5.0,8101.0,4.0]",1497392475351
light-bh1745,"[5.0,7447.0,3.0]",1497392475701
light-bh1745,"[6.0,6909.0,4.0]",1497392476051
light-bh1745,"[5.0,7447.0,5.0]",1497392476402
light-bh1745,"[12.0,6909.0,3.0]",1497392476751
light-bh1745,"[4.0,8101.0,4.0]",1497392477101
light-bh1745,"[4.0,8101.0,3.0]",1497392477452
light-bh1745,"[4.0,8101.0,3.0]",1497392477801
light-bh1745,"[5.0,8101.0,3.0]",1497392478151
light-bh1745,"[8.0,10000.0,1.0]",1497392478502
light-bh1745,"[10.0,10000.0,2.0]",1497392478851
light-bh1745,"[4.0,8913.0,3.0]",1497392479201
